ID_TREN,CURP,HORA_INICIO,HORA_FIN,FECHA,TURNO
1,LEJE977267MYXWAK6H,05:02,12:02,04/03/2022,M
2,KXTB811656MROMAEV0,05:09,12:03,06/05/2023,M
3,BWXJ116135HYMVBF84,05:08,12:02,17/06/2022,M
4,OMIA600889MZVYDT6H,05:00,12:00,30/01/2022,M
5,SCRH822413MWVGRCDU,05:06,12:06,16/01/2022,M
6,QSJD393594HYJTLA77,05:02,12:00,04/12/2022,M
7,HKZM651712HKFZAA9M,05:06,12:00,14/12/2022,M
8,DWCY250421MIMCZMMS,05:00,12:03,25/12/2022,M
9,SOON839501HWOWZZVE,05:02,12:10,31/01/2023,M
10,QGON060592MOJJEHAU,05:05,12:04,09/04/2022,M
11,IWUK461936MYLMLMWY,05:07,12:00,13/02/2022,M
12,CWQI454108HOMBJM47,05:03,12:09,30/05/2023,M
13,YOZF258085MDCWIGK8,05:09,12:00,27/04/2023,M
14,NNII903993MDHTMA94,05:08,12:02,29/07/2022,M
15,AQNG250420MXQTWLBY,05:07,12:05,11/10/2022,M
16,KWLM286497HXHQMO2K,05:00,12:09,03/01/2023,M
17,JBQB064267HQRBAFSF,05:01,12:01,07/02/2022,M
18,POHR223161MHZWFUC4,05:01,12:06,04/01/2022,M
19,JPBX287264MWKIZY06,05:00,12:07,11/06/2022,M
20,EFAZ699989MGZEBDH5,05:04,12:07,13/06/2022,M
21,TSPE781607HVRNUL03,05:02,12:04,23/07/2022,M
22,MUIL186795HHMYEW4N,05:04,12:07,12/09/2022,M
23,FLJI437881HEMDTG1Y,05:07,12:00,20/12/2022,M
24,SPQN484032HMNOGK45,05:08,12:04,28/02/2022,M
25,MPKY789215HJXGUA6U,05:03,12:01,29/11/2022,M
26,SJGW656768MNZFXOA7,05:00,12:05,17/02/2023,M
27,INBN985936HCWFAS4H,05:09,12:03,02/06/2022,M
28,QSYR470338HZBFJC27,05:06,12:09,10/02/2022,M
29,DKEJ676175MEDJXFI8,05:01,12:04,11/12/2022,M
30,ABUK933427MPFQETIQ,05:03,12:02,16/08/2022,M
31,DHOC287533HRHJRGM2,05:03,12:01,30/03/2023,M
32,MGWR311811MRIHIT9J,05:09,12:01,21/01/2022,M
33,DVXP614382MJPLIK42,05:03,12:04,07/01/2023,M
34,TQNH770178MDARKVVB,05:06,12:00,06/07/2022,M
35,ZZFP468981MZLDADL8,05:00,12:07,06/09/2022,M
36,NBOR245184HOOOBT82,05:09,12:04,11/01/2022,M
37,KXKW034140HVZLWM79,05:02,12:05,18/01/2023,M
38,XVGW500426MBKQVXY7,05:04,12:09,07/04/2022,M
39,WGZT866322HKIRUG12,05:04,12:07,24/12/2022,M
40,UWXN752279MZCLQJZA,05:07,12:07,14/01/2022,M
41,INAG097420MXTZJN05,05:02,12:01,11/04/2023,M
42,ISRO324060MBLYMA11,05:06,12:06,18/05/2023,M
43,KKJW139814MMXFXO5N,05:04,12:06,22/07/2022,M
44,SFNA174315HFLZHZ65,05:05,12:09,30/09/2022,M
45,RSGM452820HATKMZL8,05:01,12:02,25/03/2023,M
46,ROMP647766HSQCFO21,05:01,12:07,05/04/2023,M
47,WKWW907026MSEOTEMG,05:01,12:02,03/03/2023,M
48,LJBW736822HIHDVSJ9,05:01,12:02,12/06/2022,M
49,VPUU968161MYBNWQ4K,05:06,12:02,03/04/2022,M
50,QFJH387243HJKKVPTT,05:07,12:07,23/06/2022,M
51,MOQA756513HPUWSBK0,05:09,12:07,21/03/2022,M
52,MLHD660781MBGOCZN1,05:05,12:09,27/12/2022,M
53,NBXV316226MRVYDW2Y,05:04,12:00,13/06/2022,M
54,ZGQS166817MKURJDQU,05:04,12:01,13/01/2023,M
55,NNIR244780MOIDYFU0,05:04,12:06,03/04/2023,M
56,OJII157710HPRDMWJ5,05:01,12:05,27/02/2023,M
57,JNEQ154017MUYNFO4C,05:02,12:03,30/03/2022,M
58,HDWA255002HPWWOD74,05:05,12:03,30/07/2022,M
59,MPIK349041HCQMZK7F,05:08,12:07,02/07/2022,M
60,VFDB467020MQTNSY4K,05:02,12:01,23/02/2022,M
61,CHMU622570MDUDCS7G,05:04,12:05,27/02/2022,M
62,EVVA517360HUJUIT42,05:02,12:03,30/04/2022,M
63,TPAL444081MCSDTD12,05:08,12:09,03/05/2022,M
64,TZYE997185MSBYNRK7,05:00,12:07,27/12/2022,M
65,ZZZN656958HQAABY7Y,05:08,12:00,25/05/2022,M
66,AWJK286566MKZUIAQB,05:06,12:07,20/05/2023,M
67,YIWL930246MPTMGDIC,05:04,12:03,22/11/2022,M
68,YOHW782465MFCXTQ9I,05:01,12:06,30/03/2022,M
69,JJMI016641HFMNGK6W,05:04,12:02,20/06/2022,M
70,QBBV954552MZVRJM86,05:00,12:05,03/04/2022,M
71,JIGG510329MNSLUO38,05:06,12:02,17/10/2022,M
72,OLTR777654MBNLCPUD,05:09,12:06,12/03/2023,M
73,QZEI957569MWELUUNR,05:07,12:08,28/10/2022,M
74,GPUZ462624MCIORO95,05:05,12:09,24/02/2023,M
75,DEAW501234MXKPBRYL,05:00,12:04,02/06/2022,M
76,GSRN382109MEGBQH9T,05:00,12:04,07/03/2022,M
77,PMNI426577MZIGVFZF,05:07,12:07,04/03/2022,M
78,DZAL124225MOPZFAT5,05:04,12:04,30/05/2023,M
79,ETVN203117HNZNSIUH,05:01,12:06,12/12/2022,M
80,XRRT339737MSPDKG63,05:04,12:02,15/03/2022,M
81,ETGY065274MNLFDQBB,05:02,12:06,09/06/2022,M
82,BURW965859MXPUQM61,05:07,12:00,26/04/2023,M
83,KQBH028360HGRLRB0Y,05:06,12:07,12/10/2022,M
84,CMNZ237033HUHQUP93,05:04,12:00,07/01/2022,M
85,AEWA581155MLCYCNY6,05:04,12:06,08/01/2023,M
86,JWPL404550MBNUQSRI,05:02,12:01,10/11/2022,M
87,DKLN431945HHBWQV27,05:02,12:04,02/11/2022,M
88,NPNV750369MSDQRU80,05:08,12:08,20/04/2022,M
89,ITMD646829HKZTUG7D,05:08,12:03,25/11/2022,M
90,QTYS337927MTCYTB7D,05:06,12:07,10/04/2023,M
91,SFKK161264HPXDOD1H,05:07,12:00,26/04/2022,M
92,JROZ620629MQJLOB2U,05:07,12:07,16/03/2023,M
93,BTIF625565MKRIAC34,05:02,12:07,07/01/2023,M
94,AYVY401438MVRPCI3Z,05:03,12:06,12/03/2022,M
95,MHDY888726MYBAXWNQ,05:04,12:07,06/08/2022,M
96,QZJH463655HCDQXJ4B,05:04,12:04,09/01/2023,M
97,YSHO310650HDTRDQG8,05:07,12:08,03/11/2022,M
98,IRRL234047HNHAYF3P,05:06,12:04,20/11/2022,M
99,UWSB257060HCUSRT28,05:02,12:02,04/01/2023,M
100,FQYE261847HFKMHTZ5,05:05,12:01,22/04/2022,M
101,EKUW265059HJCCLOWF,05:00,12:07,16/01/2022,M
102,TIVB657713MDEJRGRB,05:01,12:05,25/03/2023,M
103,MPET408931HTKBSE94,05:02,12:09,11/07/2022,M
104,QIUQ379734MALPRYZL,05:01,12:01,01/05/2022,M
105,ARRB823624HOBDCHM1,05:09,12:03,09/04/2023,M
106,PDZG968018HAFBIH0U,05:01,12:00,08/02/2023,M
107,LPVR942128MXFQOY7K,05:09,12:01,13/01/2023,M
108,ODLI454202HISLJD2C,05:02,12:04,29/11/2022,M
109,IVUY500750HONVVZ0U,05:03,12:05,31/12/2022,M
110,LQLP519330MDIJWI0W,05:00,12:00,09/04/2023,M
111,EWVL553488MSKGHN5V,05:03,12:04,08/04/2022,M
112,KUQJ068922MRKZCZMT,05:02,12:06,31/03/2022,M
113,RMIX080264HARGDC9W,05:07,12:02,21/12/2022,M
114,KWPU529932MXFQKMX7,05:03,12:01,07/12/2022,M
115,NYXM020732HMLSBRS2,05:04,12:02,01/02/2022,M
116,EHBO393861HHFEASOQ,05:07,12:06,07/05/2022,M
